  01/01/1928,        NA,        NA_2,57,-144,through the gulf of alaska,           gulf of alaska,h,i,j
  04/05/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  04/05/1928,   59 31 N,  148 20 W,60.1,-149.4,            seward alaska,           gulf of alaska,,,
  05/05/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  05/05/1928,,,60.1,-149.4,            seward alaska,                   seward,,,
  06/05/1928,,,60,-149.4,resurrection bay seward alaska,                   seward,,,
  06/05/1928,,,60.1,-149.4,            seward alaska,                   seward,,,
  07/05/1928,,,60,-149.4,through blying sound and gulf of alaska,           gulf of alaska,blying sound,59.909,-149.125
  07/05/1928,   58 16 N,  151 33 W,55.6,13,        marmot bay alaska,                    malmo,marmot bay,58.063,-152.275
  08/05/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  08/05/1928,,,57.8,-152.4,            kodiak alaska,                   kodiak,,,
  09/05/1928,,,42.2,41.7,     out of uzinki harbor,                     poti,ouzinkie alaska,57 55 24N,152 30 07W
  09/05/1928,   56 44 N,  156 15 W,,,              uyak alaska,,,,
  10/05/1928,,,57.4,-154.9, through shelikof straits,          shelikof strait,,,
  10/05/1928,,,-17.7,168.3,    off perryville alaska,                     vila,perryville alaska,55 54 49N,159 9 4W
  11/05/1928,,,57.4,-154.9,through mitrofania passage,          shelikof strait,mitrofania passage,55 46 50N,159 08 03W
  11/05/1928,,,55.2,-160.6,       baralof bay alaska,              baralof bay,,,
  12/05/1928,,,55.2,-160.6,       out of baralof bay,              baralof bay,,,
  12/05/1928,,,54.4,-164.7,            off seal cape,                seal cape,,,
  13/05/1928,,,55.1,-162.3,      through unga strait,                      goa,unga strait,55.442,-160.514
  13/05/1928,,,55.1,-162.3,         king cove alaska,                king cove,,,
  14/05/1928,,,53.2,-162.3,         king cove alaska,                king cove,,,
  14/05/1928,,,55,-1.5,          unalaska alaska,             unalaska bay,unalaska bay,53 56 55N,166 29 54W
  15/05/1928,,,55,-166.5,   through the bering sea,                  behring,unalaska bay,,
  15/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  16/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  16/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  17/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  17/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  18/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  18/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  19/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  19/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  20/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  20/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  21/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  21/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  22/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  22/05/1928,,,35,138.5,         akun cove alaska,                     kune,akun island,54 11 18N,165 31 43W
  23/05/1928,,,54.3,-166.5,            off akun head,             unalaska bay,akun island,,
  23/05/1928,,,,,,,,,
  23/05/1928,,,,,,,,,
  23/05/1928,,,35,138.5,         akun cove alaska,                     kune,akun island,,
  24/05/1928,,,54.3,-165.6,     off akun head alaska,                akun head,,,
  24/05/1928,,,35,138.5,         akun cove alaska,                     kune,akun island,,
  25/05/1928,,,35,138.5,            akutan alaska,                     kune,akutan alaska,54 7 57N,165 46 30W
  25/05/1928,,,35,138.5,         akun cove alaska,                     kune,akun island,,
  26/05/1928,,,35,138.5,                akun cove,                     kune,akun island,,
  26/05/1928,,,35,138.5,         akun cove alaska,                     kune,akun island,,
  27/05/1928,,,35,138.5,         akun cove alaska,                     kune,akun island,,
  27/05/1928,,,35,138.5,         akun cove alaska,                     kune,akun island,,
  28/05/1928,,,35,138.5,                akun cove,                     kune,akun island,,
  28/05/1928,,,35,138.5,         akun cove alaska,                     kune,akun island,,
  29/05/1928,,,55,-166.5,         akun cove alaska,                     kune,akun island,,
  29/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  30/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  30/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  31/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  31/05/1928,,,,,,,,,
  31/05/1928,,,,,,,,,
  31/05/1928,,,,,,,,,
  31/05/1928,,,,,,,,,
  31/05/1928,,,,,,,,,
  31/05/1928,,,,,,,,,
  31/05/1928,,,,,,,,,
  31/05/1928,,,,,,,,,
  31/05/1928,,,,,,,,,
  31/05/1928,,,,,,,,,
  31/05/1928,,,,,,,,,
  31/05/1928,,,,,,,,,
  31/05/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  01/06/1928,,,53.9,-166.5,          off priest rock,             unalaska bay,,,
  01/06/1928,,,53.9,-166.5,       lost harbor alaska,              long harbor,akun island,,
  02/06/1928,,,53.9,-166.3,          off priest rock,                  behring,unalaska bay,,
  02/06/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  03/06/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  03/06/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  04/06/1928,,,53.9,-166.5,   through the bering sea,                  behring,unalaska bay,,
