  01/01/1877,        NA,        NA_2,56.2,-3,     at sea north pacific,                    forth,north pacific,i,j
  03/11/1877,,,,,,,,,
  04/11/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  05/11/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  06/11/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  07/11/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  08/11/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  09/11/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  10/11/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  11/11/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  12/11/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  13/11/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  14/11/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  15/11/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  16/11/1877,,,,,,,,,
  17/11/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  18/11/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  19/11/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  20/11/1877,,,37.8,-122.4,      san francisco calif,        san francisco bay,,,
  21/11/1877,,,37.8,-122.4,      san francisco calif,        san francisco bay,,,
  22/11/1877,,,,,,,,,
  23/11/1877,,,,,,,,,
  24/11/1877,,,,,,,,,
  25/11/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  26/11/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  27/11/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  28/11/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  29/11/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  30/11/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  01/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  02/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  03/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  04/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  05/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  06/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  07/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  08/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  09/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  10/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  11/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  12/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  13/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  14/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  15/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  16/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  17/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  18/12/1877,,,37.8,-122.4,     bay of san francisco,            san francisco,,,
  19/12/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  20/12/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  21/12/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  22/12/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  23/12/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  24/12/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  25/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  26/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  27/12/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
